Topic_Num,Topic_Perc_Contrib,Keywords,Text
0.0,0.2057,"medical, increase, effective, logistic, focus, network, hospital, research, treat, temporary","The outbreak of an epidemic disease may impose significant treats on human being and may further lead to a global crisis. In order to effectively control epidemic spread, a responsive logistics service is of vital importance. Over the years, researches have been focused on the establishment and the operations of temporary logistics network for delivering medical service and allocating emergency resources. However, the research focus has not been given to the design of a temporary reverse logistics network for medical waste treatment in epidemic outbreak, which, if improperly treated, may accelerate disease spread and pose a significant risk on both medical staffs and patients. Therefore, this paper formulates a novel multi-objective multi-period mixed integer program for reverse logistics network design in epidemic outbreak, which aims at effective management of the exponentially increased medical waste and healthcare hazards within a very short period. The model is validated with a real-world case study based on the outbreak of the coronavirus disease 2019 (COVID-19) in Wuhan, China. Even through the uncertainty of the future tendency of the COVID-19 spread is very high at the time of this research, some general managerial implications can still be obtained based on quantitative analyses. Among other insights, the computational results suggest installing and operating temporary incinerators at proper locations may be an effective solution for managing the tremendous increase of medical waste during the COVID-19 outbreak in Wuhan."
1.0,0.0459,"hubei, preprint, result, reverse, previous, nan, occur, area, patient, level",
2.0,0.1058,"disease, coronavirus, resource, effectively, service, develop, significantly, electronic, treat, cough","The COVID-19 infection was a mass onset, with a strong concealment that is difficult to detect in the early stages, and early detection can reduce the harm of the disease. Due to traffic control and tight medical resources, the inability to treat in a timely manner will lead to worsening of the disease of elderly patients, and even fatal respiratory diseases."
3.0,0.2339,"number, datum, coronavirus, report, death, china, conduct, official, impact, parameter","This paper uses new credible non-official sources of data to evaluate the incidence and impact of the novel coronavirus (COVID-19) outbreak in China. Based on the number of reported cremations and on reports of possibly more accurate numbers on cases that appeared briefly on Tencent and were suppressed, we have conducted a modeling study to estimate the incidence and other parameters of the outbreak, including the potential starting time. The numbers for cumulative cases, new cases per day, and cumulative deaths coming from the non-official data are all substantially higher by a factor of 5 to 10 (depending on the date of the data) than would be implied by the official Chinese government data. All sets of non-official data used here imply that the coronavirus outbreak began in October or late September 2019."
4.0,0.0843,"pneumonia, intervention, show, government, range, reduce, low, fatality, end, daily","The controlled reproduction number is declining. It is lower than one in most regions of China, but still larger than one in Hubei Province. Sustained efforts are needed to further keep/reduce the 𝑅𝑐 to below one in order to end the current epidemic."
5.0,0.1386,"patient, symptom, find, suggest, period, age, quantitative, admission, hospitalization, number","In our investigation, it was obviously that the COVID-19 can spread through person to person. The main manifestations of the patients were mainly upper respiratory symptoms, and some of the patients were accompanied by symptoms of the digestive system. There was no significant age limit for the infectivity of the population, but elderly people were still vulnerable groups. Patients with diabetes were more likely to develop into severe patients, and the probability of admission to the ICU was significantly increased."
6.0,0.1873,"quarantine, study, review, detection, effect, public, basic, coronavirus, stress, potentially","The January 2020 coronavirus outbreak has seen many countries plan to ‘self-isolate’ or quarantine people who have potentially come into contact with the infection. Decisions on how to apply quarantine should be based on best available evidence. We conducted a rapid review of the psychological impact of quarantine using three electronic databases. 3166 papers were found and 24 included in the review. The majority of reviewed studies reported negative psychological effects including post-traumatic stress symptoms, confusion and anger. Stressors included longer quarantine duration, infection fears, frustration, boredom, inadequate supplies, inadequate information, financial loss and stigma. Some suggested long-lasting effects. Where quarantine is deemed necessary, officials should quarantine for no longer than necessary; provide clear rationale for quarantine and information about protocols; and ensure sufficient supplies are provided. A"
7.0,0.2282,"rate, clinical, diagnosis, evidence, significant, index, eosinophil, investigation, match, transmission","We employed four types of AI technology to screen all patients, achieve 18 indexes associated with significant COVID-19 diagnosis and the most important attribute is WBC, Eosinophil count, Eosinophil rate, 2019 novel coronavirus RNA (2019n-CoV) and Amyloid-A in laboratory, also matched with 2019 China virus diagnosis clinical guide. We developed a novel and accurate method to quickly achieve COVID-19 diagnosis association indexes to improve confirmed diagnosis rate for clinical use."
8.0,0.339,"spread, country, global, risk, world, future, study, vulnerability, relationship, spatiotemporal","An ongoing novel coronavirus SARS-CoV-2 pneumonia infection outbreak called COVID-19 started in Wuhan, Hubei Province, China, in December 2019. It both spread rapidly to all provinces in China and started spreading around the world quickly through international human movement from January 2020. Currently, the spatiotemporal epidemic transmission patterns, prediction models, and possible risk analysis for the future are insufficient for COVID-19 but we urgently need relevant information, particularly from the global perspective.

We have developed a novel two-stage simulation model to simulate the spatiotemporal changes in the number of COVID-19 cases and estimate the future worldwide risk. Based on the connectivity of countries to China and the country's medical and epidemic prevention capabilities, different scenarios are generated to analyze the possible transmission throughout the world and use this information to evaluate each country’s vulnerability to and the dynamic risk of COVID-19.

Countries’ vulnerability to the COVID-19 outbreak from China is calculated for 63 countries around the world. Taiwan, South Korea, Hong Kong, and Japan are the most vulnerable areas. The relationship between each country’s vulnerability and days before the first imported case occurred shows a very high exponential decrease. The cumulative number of cases in each country also has a linear relationship with vulnerability, which can compare and quantify the initial epidemic prevention capabilities to various countries’ management strategies. In total, 1,000 simulation results of future cases around the world are generated for the spatiotemporal risk assessment. According to the simulation results of this study, if there is no specific medicine for it, it will likely form a global pandemic. This method can be used as a preliminary risk assessment of the spatiotemporal spread for a new global epidemic."
9.0,0.1283,"severe, respiratory, mortality, syndrome, acute, key, onset, person, people, end","COVID-19 was of clustering onset, and can result in severe and even fatal respiratory diseases such as acute respiratory distress syndrome. Combination therapy may be effective."
10.0,0.1848,"psychological, factor, social, detect, medical, characteristic, staff, ocular, depression, convenient","Our study found more than one third of the medical staff suffered from insomnia symptoms during the COVID-19 outbreak. The related factors were including education level, isolation environment, social psychological worries about the COVID-19 outbreak, and occupation of doctor. Interventions of insomnia on medical staffs were needed considering different social psychological factors."
