Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
20.0,"sar, cov, pangolin, human, analysis, illness, acid, accord, spread, ongoing",1.0,0.0133
9.0,"severe, respiratory, mortality, syndrome, acute, key, onset, person, people, end",4.0,0.0533
22.0,"patient, early, contact, isolation, close, nucleic, stage, upro, large, degree",1.0,0.0133
2.0,"disease, coronavirus, resource, effectively, service, develop, significantly, electronic, treat, cough",2.0,0.0267
14.0,"measure, prevention, strong, period, individual, point, day, expose, beijing, infected",4.0,0.0533
16.0,"epidemic, china, hubei_province, february, predict, province, feb, total, expect, quickly",3.0,0.04
28.0,"population, current, chinese, work, maintain, evaluate, travel, confusion, learning, postpone",3.0,0.04
7.0,"rate, clinical, diagnosis, evidence, significant, index, eosinophil, investigation, match, transmission",2.0,0.0267
26.0,"test, pcr, sample, rapid, rt, screen, swab, lamp, effort, diagnostic",1.0,0.0133
8.0,"spread, country, global, risk, world, future, study, vulnerability, relationship, spatiotemporal",6.0,0.08
9.0,"severe, respiratory, mortality, syndrome, acute, key, onset, person, people, end",3.0,0.04
31.0,"provide, include, support, image, ground, infection, result, ncov, identification, timely",4.0,0.0533
26.0,"test, pcr, sample, rapid, rt, screen, swab, lamp, effort, diagnostic",1.0,0.0133
7.0,"rate, clinical, diagnosis, evidence, significant, index, eosinophil, investigation, match, transmission",3.0,0.04
31.0,"provide, include, support, image, ground, infection, result, ncov, identification, timely",4.0,0.0533
23.0,"potential, region, identify, response, viral, immune, attention, process, epitope, term",1.0,0.0133
29.0,"china, wuhan, transmission, area, imply, stay, pyroptosis, important, approach, hunan",5.0,0.0667
10.0,"psychological, factor, social, detect, medical, characteristic, staff, ocular, depression, convenient",1.0,0.0133
10.0,"psychological, factor, social, detect, medical, characteristic, staff, ocular, depression, convenient",2.0,0.0267
16.0,"epidemic, china, hubei_province, february, predict, province, feb, total, expect, quickly",,
1.0,"hubei, preprint, result, reverse, previous, nan, occur, area, patient, level",2.0,0.0267
4.0,"pneumonia, intervention, show, government, range, reduce, low, fatality, end, daily",1.0,0.0133
15.0,"health, care, finding, worker, associate, worldwide, reproduction, transmission, result, protection",5.0,0.0667
18.0,"infection, mild, infect, import, fever, combination, dyspnea, ggo, chest, continue",1.0,0.0133
14.0,"measure, prevention, strong, period, individual, point, day, expose, beijing, infected",1.0,0.0133
30.0,"high, virus, risk, coronaviruse, system, influenza, cv, ace, emerge, angiotensin",,
26.0,"test, pcr, sample, rapid, rt, screen, swab, lamp, effort, diagnostic",4.0,0.0533
9.0,"severe, respiratory, mortality, syndrome, acute, key, onset, person, people, end",1.0,0.0133
11.0,"low, january, highly, case, lung, consolidation, globally, march, ncip, severity",2.0,0.0267
4.0,"pneumonia, intervention, show, government, range, reduce, low, fatality, end, daily",2.0,0.0267
28.0,"population, current, chinese, work, maintain, evaluate, travel, confusion, learning, postpone",3.0,0.04
22.0,"patient, early, contact, isolation, close, nucleic, stage, upro, large, degree",2.0,0.0267
11.0,"low, january, highly, case, lung, consolidation, globally, march, ncip, severity",,
22.0,"patient, early, contact, isolation, close, nucleic, stage, upro, large, degree",,
3.0,"number, datum, coronavirus, report, death, china, conduct, official, impact, parameter",,
9.0,"severe, respiratory, mortality, syndrome, acute, key, onset, person, people, end",,
22.0,"patient, early, contact, isolation, close, nucleic, stage, upro, large, degree",,
10.0,"psychological, factor, social, detect, medical, characteristic, staff, ocular, depression, convenient",,
22.0,"patient, early, contact, isolation, close, nucleic, stage, upro, large, degree",,
18.0,"infection, mild, infect, import, fever, combination, dyspnea, ggo, chest, continue",,
9.0,"severe, respiratory, mortality, syndrome, acute, key, onset, person, people, end",,
30.0,"high, virus, risk, coronaviruse, system, influenza, cv, ace, emerge, angiotensin",,
4.0,"pneumonia, intervention, show, government, range, reduce, low, fatality, end, daily",,
5.0,"patient, symptom, find, suggest, period, age, quantitative, admission, hospitalization, number",,
21.0,"covid, management, january, restriction, characterize, quick, base, writing, efficient, liu",,
26.0,"test, pcr, sample, rapid, rt, screen, swab, lamp, effort, diagnostic",,
5.0,"patient, symptom, find, suggest, period, age, quantitative, admission, hospitalization, number",,
16.0,"epidemic, china, hubei_province, february, predict, province, feb, total, expect, quickly",,
1.0,"hubei, preprint, result, reverse, previous, nan, occur, area, patient, level",,
1.0,"hubei, preprint, result, reverse, previous, nan, occur, area, patient, level",,
4.0,"pneumonia, intervention, show, government, range, reduce, low, fatality, end, daily",,
0.0,"medical, increase, effective, logistic, focus, network, hospital, research, treat, temporary",,
6.0,"quarantine, study, review, detection, effect, public, basic, coronavirus, stress, potentially",,
5.0,"patient, symptom, find, suggest, period, age, quantitative, admission, hospitalization, number",,
17.0,"control, strategy, decrease, mainland, stage, implement, public, design, urgently, management",,
13.0,"case, model, cumulative, number, peak, population, incidence, develop, cure, generation",,
16.0,"epidemic, china, hubei_province, february, predict, province, feb, total, expect, quickly",,
1.0,"hubei, preprint, result, reverse, previous, nan, occur, area, patient, level",,
13.0,"case, model, cumulative, number, peak, population, incidence, develop, cure, generation",,
30.0,"high, virus, risk, coronaviruse, system, influenza, cv, ace, emerge, angiotensin",,
20.0,"sar, cov, pangolin, human, analysis, illness, acid, accord, spread, ongoing",,
29.0,"china, wuhan, transmission, area, imply, stay, pyroptosis, important, approach, hunan",,
14.0,"measure, prevention, strong, period, individual, point, day, expose, beijing, infected",,
3.0,"number, datum, coronavirus, report, death, china, conduct, official, impact, parameter",,
9.0,"severe, respiratory, mortality, syndrome, acute, key, onset, person, people, end",,
11.0,"low, january, highly, case, lung, consolidation, globally, march, ncip, severity",,
11.0,"low, january, highly, case, lung, consolidation, globally, march, ncip, severity",,
6.0,"quarantine, study, review, detection, effect, public, basic, coronavirus, stress, potentially",,
16.0,"epidemic, china, hubei_province, february, predict, province, feb, total, expect, quickly",,
6.0,"quarantine, study, review, detection, effect, public, basic, coronavirus, stress, potentially",,
27.0,"paper, treatment, virus, method, publish, outbreak, article, cell, journal, give",,
24.0,"prevent, health, reduce, emergency, capacity, require, improve, exist, strengthen, manage",,
14.0,"measure, prevention, strong, period, individual, point, day, expose, beijing, infected",,
13.0,"case, model, cumulative, number, peak, population, incidence, develop, cure, generation",,
12.0,"ncov, confirm, present, control, related, assess, acid, analysis, disparity, common",,
