Abstract,Date,Days,Downloads,Impact,Refrences,Search,Views,url
" Within 24 hours, our setup led to pronounced reduction of patient load in the ER and enabled risk assessment of 1166 patients of which 746 (64%) received testing for SARS-CoV-2 during the first 2 weeks of operation (February 27th – March 12th, 2020). Timely on-site evaluation of positive test results informed on local transmission cycles, which in turn led to successful extension of test indications beyond national guidelines. In addition, the infrastructure was exploited for testing and contact tracing of hospital personnel as cases strongly increased in Germany. ",2020-04-21,4.0,222.0,55.5,4.0,Rapid Response Infrastructures for Pandemic Preparedness in Tertiary Care Hospitals: Lessons Learned from the COVID-19 Outbreak in Germany,25.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3564421
" Our estimates are based on tentative assumptions and represent a wide range of outcomes. Nonetheless, they show that if routine health care is disrupted – as a result of unavoidable shocks, health system collapse, or intentional choices made in responding to the pandemic – the increase in child and maternal deaths will be devastating. We hope these numbers add context as policy makers establish guidelines and allocate resources in the days and months to come. ",2020-04-21,4.0,996.0,249.0,49.0,Early Estimates of the Indirect Effects of the Coronavirus Pandemic on Maternal and Child Mortality in Low- and Middle-Income Countries,187.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3576549
" Our study showed a significant decrease in patients treated with MTs during the first stages of the COVID epidemic in France, and alarming indicators of lengthened care delays. These findings prompt immediate consideration of local and regional stroke networks preparedness in the varying contexts of COVID19 pandemic evolution.",2020-04-21,4.0,142.0,35.5,7.0,"Mechanical Thrombectomy for Acute Ischemic Stroke Amid the COVID-19 Outbreak in France: Decreased Activity, and Increased Care Delays",15.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3571545
" GI manifestations should be considered as common presenting symptoms of COVID-19, initiating quicker confirmatory testing to avoid misdiagnosis and transmission of the disease. The availability of medical resources is seen to affect the management of COVID-19 cases, which in turn affect symptomatology, transmission of virus and eventually the density of cases.  ",2020-04-21,4.0,202.0,50.5,19.0,Prevalence of Gastrointestinal Symptoms in COVID-19 Patients and Impact of Medical Resources on Disease Transmission,26.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3572865
" Identification of these factors associated with severe COVID-19 will help the physicians working at all levels of healthcare (primary, secondary, tertiary and ICU) in determining which patients need home care, hospital care, HDU care, and ICU admission; and thus, prioritize the scarce healthcare resource use more judiciously. Many of these identified factors can also help the public at large in the current COVID-19 epidemic setting, to judge when they should seek immediate medical care.",2020-04-21,4.0,193.0,48.25,99.0,Clinical Features of COVID-19 and Factors Associated with Severe Clinical Course: A Systematic Review and Meta-Analysis,39.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566166
" COVID-19 was associated with an approximately 52% lower risk of adverse clinical outcomes, compared to SARS after adjusting for clinical parameters. Nonetheless, as there is still an ongoing, fast growing number of COVID-19 patients worldwide, the absolute number of deaths is going to be enormous. Health authorities should allocate adequate resources, in particular intensive care facilities, based on the trajectories of the numbers of confirmed cases and well ahead to avoid collapse of the healthcare systems.",2020-04-21,4.0,154.0,38.5,43.0,Adverse Clinical Outcomes in COVID-19 Versus SARS: A Territory-Wide Cohort Study in Hong Kong,18.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3572866
" Although COVID-19 might present a higher prevalence of GGO predominance, involvement of upper and middle lobes, and peripheral distribution, most CT findings overlap with other viral pneumonia. Thus, chest CT should not be encouraged as a first-line test for COVID-19 diagnosis in the general population.",2020-04-21,4.0,149.0,37.25,22.0,Comparison of the Computed Tomography Findings in COVID-19 and Other Viral Pneumonia in Immunocompetent Adults: A Systematic Review and Meta-Analysis,15.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3572873
" Hospitalized COVID-19 patients with mild symptoms despite positive chest CT changes and major comorbidities were more probable to have negative rRT-PCR test result, hence lower case fatality rate and a more favorable outcome.  ",2020-04-20,5.0,140.0,28.0,13.0,rRT-PCR Test Results Upon Admission Might Be Associated with Outcome in Hospitalized Chest CT-Positive COVID-19 Patients: A Provincial Retrospective Cohort with Active Follow-Up,18.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3572861
" The multi-strategy management for severe COVID-19 patients included early identification and timely critical care, including appropriate respiratory support in particular. Preparation of sufficient conventional oxygen equipment should be prioritized.",2020-04-20,5.0,187.0,37.4,44.0,Critical Care for Severe COVID-19: A Population-Based Study from a Province with Low Case-Fatality Rate in China,27.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566160
" The baseline nomogram model can be employed at admission to identify the high-risk patients who might develop CEPE. During hospitalization, by monitoring the changes in the burning point indicators in the early warning system, clinicians can combine their respective weights to determine whether the patient has crossed the burning point. If so, CEPE will occur within five days. Hopefully, by using this early warning system, clinicians could intervene proactively before a CEPE develops, thereby avoiding irreversible disease progression and minimizing the likelihood of fatality.",2020-04-20,5.0,565.0,113.0,27.0,A 'Burning Point' Is Found Before the Composite End Point Event Happened in Critically Ill Patients with COVID-19: A Multicenter Retrospective Study,109.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3572864
