Abstract,Date,Downloads,Refrences,Search,Views,url
"S-COVID-19-P could be identified early by a machine-learning model only used collected clinical information without CT images on admission in fever clinics with 100% recall score. The well performed and validated model has been deployed as an online triage tool, which is available at: https://intensivecare.shinyapps.io/COVID19/ .",2020-03-19,238.0,12.0,A Novel Triage Tool of Artificial Intelligence Assisted Diagnosis Aid System for Suspected COVID-19 Pneumonia in Fever Clinics,44.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551355
" Exposure to potentially crowded places, public transport and to individuals with a cold increases risk of acquiring circulating acute respiratory infections. This suggests social distancing measures can have an important impact on slowing transmission of emerging respiratory infections.",2020-03-19,267.0,31.0,Public Activities Preceding the Onset of Acute Respiratory Infection Syndromes in Adults in England - Implications for the Use of Social Distancing to Control Pandemic Respiratory Infections,66.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551361
Our nomogram is a potentially useful prediction tool for risk assessment of COVID-19 patients and early identification of severe COVID-19 patients. Risk stratification will enable better management and optimal use of medical resources via patient prioritization and thus significantly reduce mortality rates.,2020-03-19,228.0,36.0,Multicenter Development and Validation of a Novel Risk Nomogram for Early Prediction of Severe 2019-Novel Coronavirus Pneumonia,79.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551365
SARS-CoV-2 has great person-to-person transmission capability among close contacts. The secondary cases are more prone to have mild symptoms than index cases. There is no increased RR of secondary infection in blood relatives versus unrelated contacts. The high rate of asymptomatic SARS-CoV-2 infections highlights the urgent need to enhance active case finding strategy for early detection of infectious patients.,2020-03-18,163.0,1.0,"Clusters of Human Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection in a Non-Epidemic Area, China",42.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551388
"11 COVID-19 patients with a history of thoracotomy were all severe cases. The diagnosis was confirmed by chest CT and nucleic acid testing, and antiviral treatment mainly based on abidol, supplemented by Chinese traditional medicine Lianhuaqingwen. All patients were treated with antibiotics, and 1 patient also took prophylactic antifungal therapy. Finally, 3 patients died of respiratory failure, 7 patients recovered smoothly, and 1 patient was still under treatment.",2020-03-18,109.0,10.0,"Clinical Features of 11 COVID-19 Patients with History of Thoracotomy: A Descriptive Study in Wuhan, China",28.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551387
"1) The hospital reporting speed--the first case report to the local CDC, for H7N9(2013) in Shanghai and COVID-19 in Wuhan city was 6 and 19 days, respectively. 2). The pathogen inspection speed-- the period from case reporting to technically confirming and re-checking pathogens, for COVID-19 was much quicker than that in H7N9(2013) in Shanghai (12days vs. 31days). 3). The government responding speed --from re-checking pathogens to the local government’s emergency response, for H7N9 (2013) in Shanghai and COVID-19 in Wuhan was 4 and 15 days, respectively. 4) The total emergency disposal time of local government was 5 days longer in COVID-19 in Wuhan city than H7N9 avian influenza (2013) in Shanghai (46 days vs. 41 days).InterpretationFrom H7N9 to COVID-19, the speed of detecting unknown pathogens greatly improved in China, whereas the hospital reporting of epidemics and decision-making by government of Hubei province was significantly slow, which might be an important influential factor of the outbreak of COVID-19. Improving the emergency management could lessen the adverse social effects of the emerging infectious disease and public health crisis in the future.",2020-03-18,179.0,30.0,The Response of the Government's Emergency System to the Novel Coronavirus Disease 2019 (COVID-19) Outbreak in China: A Retrospective Comparative Study,55.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551347
" Those with features of high-risk mental health problems should be set as priority for psychiatric interventions, especially when mental health professionals are not sufficient in China. ",2020-03-18,283.0,20.0,Mental Health Status of Doctors and Nurses During COVID-19 Epidemic in China,89.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551329
"As the first national study on epidemiological and transmission characteristics of pregnant women with COVID-19, it provides preliminary information about the scope and severity of coronavirus infection during pregnancy in the current epidemic.",2020-03-18,129.0,8.0,Epidemiological and Transmission Patterns of Pregnant Women with 2019 Coronavirus Disease in China,47.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551330
The high proportion of non-severe cases corrects the assessment of the trend of the outbreak.  Consolidation on chest CT scan and lymphopenia were possible risk factors for deterioration of COVID-19 and contribute to the clinical management.,2020-03-18,355.0,25.0,Non-Severe vs Severe Symptomatic COVID-19: 104 Cases from the Outbreak on the Cruise Ship 'Diamond Princess' in Japan,113.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551331
"Compared with severe patient infected with SARS-CoV-2, mild patients with COVID-19 in our study were mostly female with a mean age of 49.2 years, and a considerable proportion of patients were no symptom.",2020-03-18,314.0,28.0,Clinical Findings of 100 Mild Cases of COVID-19 in Wuhan: A Descriptive Study,86.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551332
