Abstract,Date,Downloads,Refrences,,,Search,Views,url
"The mortality of diabetic patients with COVID-19 was 35·4%, and diabetic patients were prone to suffer multi-organ dysfunction, secondary infection and worse outcome. Diabetes the disease itself, together with old age, other underlying comorbidities and poor glycemic control during hospitalization contributed to the poor outcomes of diabetic patients with COVID-19.",2020-03-20,3498.0,31.0,5,699.6,"Diabetic Patients with COVID-19, Characteristics and Outcome: A Two-Centre, Retrospective, Case Control Study",449.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551369
"Low serum cholesterol level in the patients with COVID-19 in Wenzhou, China. Altered serum cholesterol provide important information, and is meaningful to understand the disease.",2020-03-02,12541.0,24.0,23,545.260869565217,"Low Serum Cholesterol Level Among Patients with COVID-19 Infection in Wenzhou, China",1288.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544826&utm_source=EC&utm_medium=Connect
The antibody detection offers vital clinical information during the course of SARS-CoV-2 infection. The findings provide strong empirical support for the routine application of serological testing in the diagnosis and management of COVID-19 patients.,2020-03-03,5351.0,11.0,22,243.227272727273,Antibody Responses to SARS-CoV-2 in Patients of Novel Coronavirus Disease 2019,1006.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546052&utm_source=EC&utm_medium=Connect
"8 studies were included in Meta-analysis, including a total of 5732 patients with 2019-nCoV infection.According to Meta-analysis, among the clinical characteristics of patients with 2019-nCoV infection, the incidence of fever is 90.9%, the incidence of cough is 70.8%, and the incidence of muscle soreness or fatigue is 41%. The incidence of acute respiratory distress syndrome (ARDS) was 14.8%, the incidence of abnormal chest CT was 95.6%, the proportion of severe cases in all infected cases was 24.3%, and the mortality rate of patients with 2019-nCoV infection was 6.4%.",2020-02-20,7401.0,30.0,34,217.676470588235,Clinical Characteristics of 5732 Patients with 2019-nCoV Infection,1363.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539664&utm_source=EC&utm_medium=Connect
"Our study suggests that respiratory samples are still the most effective for detecting SARS-CoV-2, while it is necessary to strengthen the management of stool samples in the prevention and control of the epidemic, especially in the later stage of the disease. As SARS-CoV-2 persists longer with higher load, and peaks later in the respiratory tissue of severe patients, the rational use of antiviral drugs is needed to shorten the duration of the virus and reduce the occurrence of severe cases.",2020-03-18,1354.0,40.0,7,193.428571428571,Viral Load Dynamics and Clinical Disease Severity in Patients with SARS-CoV-2 Infection,164.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551345
"It is essential to assess how the expensive, resource-intensive measures implemented by the Chinese authorities can contribute to the prevention and control of the 2019-nCov infection, and how long should be maintained. Under the most restrictive measures, the outbreak is expected to peak within two weeks (since January 23rd 2020) with significant low peak value. With travel restriction (no imported exposed individuals to Beijing), the number of infected individuals in 7 days will decrease by 91.14% in Beijing, compared with the scenario of no travel restriction.",2020-01-27,11182.0,26.0,58,192.793103448276,Estimation of the Transmission Risk of 2019-nCov and Its Implication for Public Health Interventions,40110.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3525558&utm_source=EC&utm_medium=Connect
The high proportion of non-severe cases corrects the assessment of the trend of the outbreak.  Consolidation on chest CT scan and lymphopenia were possible risk factors for deterioration of COVID-19 and contribute to the clinical management.,2020-03-18,1186.0,25.0,7,169.428571428571,Non-Severe vs Severe Symptomatic COVID-19: 104 Cases from the Outbreak on the Cruise Ship 'Diamond Princess' in Japan,187.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551331
"Positive CT with exposure history should also be used as criteria to admit children into the hospital for immediate treatment. The severity of COVID-19 infection in children is less than adults in terms of symptoms, lung consolidation as visualized by CT, and laboratory abnormalities. Children are also less likely to be infected. CT scan is not recommended to evaluate treatment response as indicated by COX-regression method.",2020-03-12,1967.0,32.0,13,151.307692307692,Visualizing the Novel Coronavirus (COVID-19) in Children: What We Learn from Patients at Wuhan Children's Hospital,506.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550012
"The clinical characteristics of COVID-19 patients at the onset became partially different as the novel coronavirus spreads over time and generations, positive infection even appeared in patients after discharge. Findings from this study suggest that initial symptoms of recently infected patients seem more insidious. All provide clues that the new coronavirus may gradually evolve into an influenza-like virus, or it may be latent in some asymptomatic carrier for a long time.",2020-03-02,3336.0,16.0,23,145.04347826087,Caution: Clinical Characteristics of COVID-19 Patients Are Changing at Admission,480.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546044%20&utm_source=EC&utm_medium=Connect
"The clinical characteristics of COVID-19 patients at the onset became partially different as the novel coronavirus spreads over time and generations, positive infection even appeared in patients after discharge. Findings from this study suggest that initial symptoms of recently infected patients seem more insidious. All provide clues that the new coronavirus may gradually evolve into an influenza-like virus, or it may be latent in some asymptomatic carrier for a long time.",2020-03-02,3336.0,16.0,23,145.04347826087,Caution: Clinical Characteristics of COVID-19 Patients Are Changing at Admission,480.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546044&utm_source=EC&utm_medium=Connect
