Abstract,Date,Downloads,Refrences,,Impact,Search,Views,url
"Patients with underlying disease and the confirmation time &gt; 10 days were more likely to develop to critical type. The critical type patients had higher risk of infection, respiratory depression, circulatory collapse, and complications. The strategy of lung-protective mechanical ventilation and restrictive fluid management should be strictly followed.",2020-03-23,131.0,27.0,2,65.5,"Clinical Characteristics and Current Treatment of Critically Ill Patients with COVID-19 Outside Wuhan, China: A Multicenter, Retrospective, Observational Study",35.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551426
"14,592 respondents who were evaluated on psychological status in 31 provinces, autonomous regions, municipalities of China were included in the study, with a positive detection rate of SRQ-20, PHQ-9, GAD-7 being 33.2%, 53.5%, 44.6%, respectively. The male gender (OR=0.812,95%CI:0.748~0.881,P＜0.001), advanced degree of education (OR=0.723,95%CI:0.649~0.805,P＜0.001), student (OR=0.816,95%CI:0.695~0.958,P=0.009) were viewed as the protective factors of post-catastrophe stress. While young in  age(OR=1.843,95%CI:1.669~2.034,P＜0.001), divorced status (OR=1.486,95%CI:1.252~1.769,P＜0.001), being in poor physical condition (OR=18.889,95%CI:7.419~48.094,P＜0.001) were the predisposing factors of it. The risk factors for state anxiety and depression underlying the shadow of the COVID-19 epidemic were similar to those of acute stress, notwithstanding there was no significance in the positive detection rate of depression between the genders and no differences in anxiety of diverse educational levels.",2020-03-23,107.0,39.0,2,53.5,Psychological Impact and Predisposing Factors of the Coronavirus Disease 2019 (COVID-19) Pandemic on General Public in China,23.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551415
"Elder patients with more comorbidities and abnormalities in lymphocytes, platelets, prealbumin and myoglobin indicated poor prognosis of NCIP. Leukocytes, high-sensitivity-CRP, IL-6 and ferritin may predict the progression of disease. No evidence supported the effects of corticosteroids and lopinavir-ritonavir in NCIP treatment.",2020-03-23,106.0,25.0,2,53,"Potential Predictors for Disease Progression and Medication Evaluation of 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China",18.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551399
"Our results suggest that prognosis is unfavorable for severely ill patients with COVID-19. Age, NLR, and LDH are independent predictors of 28-day mortality.",2020-03-23,100.0,17.0,2,50,"Short Term Outcomes and Risk Factors for Mortality in Patients with COVID-19 in Wuhan, China: A Retrospective Study",25.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551390
"During late January to mid-February 2020, patients infected with SARS-CoV-2 were mostly non-severe with mild to moderated symptoms in Fujian province and the mortality rate (0·6%) was significantly lower than that in Wuhan. Older patients (&gt;65 years) were more likely to progress as severe cases of COVID-19 than the young (18-65 years).",2020-03-23,99.0,27.0,2,49.5,"Epidemical and Clinical Characteristics of 165 Patients Infected with SARS-CoV-2 in Fujian Province, China",20.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551402
"As the largest stool samples and the longest monitoring time so far, our study demonstrated that in spite of the virus harbour in the respiratory tract earlier than intestinal tract as 106 patients (77%) showed the first throat swab virus positive and only 22 patients (16%) showed the first stool virus positive in the first 10 days after their disease onset respectively, however, SARS-CoV-2 would harbour in the both respiratory tract and intestinal tract for 10-14 days. In addition, many patients appeared stool RNA positive when their swab RNA had turn negative and we suggested that both throat swabs and stool specimens are needed to absolutely confirm the elimination of the SARS-CoV-2.",2020-03-23,90.0,14.0,2,45,"Clinical Features of Stool SARS-CoV-2 RNA Positive in 137 COVID-19 Patients in Taizhou, China",15.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551383
"The disease course of confirmed patients, which can be evaluated by clinical manifestation and radiological examination results, may not reciprocate mono-directional reversion of positive RT-PCR test results into negative ones. Patients infected with COVID-19 may become asymptomatic in the process of treatment and recovery, combined with promising chest CT findings, however, unpredictable changes in RT-PCR test results between positives and negatives have been identified. Due to the unavailability of quantitative studies and the lack of specific medicine for COVID-19 infected pneumonia, longer periods of hospitalization and quarantine, integrated specimens for RT-PCR test are therefore suggested.",2020-03-23,88.0,32.0,2,44,"The Desynchrony between Clinical Course and RT-PCR Test Results in Patients with COVID-19 Infected Pneumonia During the Treatment in Wuhan, China",20.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551404
"Compared with CT images of GGO in patients with early-stage lung cancer, GGO features in patients with COVID-19 pneumonia have their own characteristics and t he evolution of GGO images corresponds with the progression of disease in a short time. The evaluation of GGO features combined with clinical, epidemiological and laboratory findings would facilitate the early detection and identification of COVID-19 pneumonia.  For the asymptomatic patients with GGO manifestation on CT findings, it is particularly essential to recheck chest CT within one week. Fully understanding the imaging features and differential diagnosis of COVID-19 will facilitate early detection and isolation of patients with SARS-CoV-2.",2020-03-23,86.0,27.0,2,43,"Comparison of Chest CT Images Featured with Ground Grass Opacity between COVID-19 Pneumonia and Early-Stage Lung Cancer in Wuhan,China: A Single-Centered, Retrospective, Observational Study",18.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551427
More attention should be paid to the mental health of frontline medical personnel at the outbreak of SARS-CoV-2 in China. Taking steps to reduce the intensity of the work and burnout will be effective to stabilize the mental state of them.,2020-03-23,52.0,29.0,2,26,Multiple Risk Factors of Depression and Anxiety in Medical Staffs: A Cross-Sectional Study at the Outbreak of SARS-CoV-2 in China,5.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551414
"The mortality of diabetic patients with COVID-19 was 35·4%, and diabetic patients were prone to suffer multi-organ dysfunction, secondary infection and worse outcome. Diabetes the disease itself, together with old age, other underlying comorbidities and poor glycemic control during hospitalization contributed to the poor outcomes of diabetic patients with COVID-19.",2020-03-20,3498.0,31.0,5,699.6,"Diabetic Patients with COVID-19, Characteristics and Outcome: A Two-Centre, Retrospective, Case Control Study",449.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551369
"The high or moderate risk level of the epidemiological histories and typical features of chest image are the most valuable information for the screening. SARS-CoV-2 nucleic acid test is recommended at least two times for the cases with the above characteristics. Timely detection of children with COVID-19, even those with invisible infection, is of positive significance for the epidemic control.",2020-03-20,264.0,29.0,5,52.8,"Clinical Management of Children with an Epidemiological History of COVID-19: A Report on a Single Center of a General Hospital in Shenzhen, China",67.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551366
