Abstract,Date,Days,Downloads,Impact,Refrences,Search,Views,url
"The emergence of COVID-19 interfered influenza epidemic in 2019-2020 season in Wuhan. Enhancing the surveillance of influenza could potentially facilitate better judgment about the real situation of COVID-19 pandemic, which could be hidden in massive influenza cases.",2020-03-25,1.0,122.0,122.0,34.0,The Outbreak of Coronavirus Disease 2019 Interfered with Influenza in Wuhan,11.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555239
The conjunctival epithelium and the conducting airways appear to be potential portals of infection of SARS-CoV-2. Both SARS-CoV and SARS-CoV-2 replicated comparably in the alveolar epithelium explaining the progression of infection to a primary viral pneumonia.,2020-03-25,1.0,115.0,115.0,30.0,"The First Report of the Prevalence of COVID-19 in Chronic Myelogenous Leukemia Patients in the Core Epidemic Area of China: A Multicentre, Cross-Sectional Survey",21.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552870
The prolonged VST was partially responsible for the wide spread of COVID-19. At least three consecutive negatives were suitable for the criteria of end of virus shedding. Patients with decreased B cells on admission had longer virus shedding from respiratory tract in Coronavirus Disease 2019.,2020-03-25,1.0,73.0,73.0,18.0,Decreased B Cells on Admission was Associated with Prolonged Virus Shedding from Respiratory Tract in Coronavirus Disease 2019: A Case Control Study,16.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555246
Pregnant patients with COVID-19 had less level of severity together with enhanced inflammatory response and cell immunity when compared with non-pregnant patients.,2020-03-25,1.0,58.0,58.0,26.0,"Clinical Characteristics of Pregnant Women with Coronavirus Disease 2019 in Wuhan, China",16.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555240
"In haematological units, hospitalized HD patients and medical staff are both at high risk of COVID-19 under an outbreak in Wuhan, partially attributing to hospital-associated transmission. The HD patients are characterized by great respiratory, inflammatory and haematological damages and extremely poor prognosis.",2020-03-24,2.0,178.0,89.0,24.0,"Clinical Characteristics and Outcome of 31 Cases with Covid-19 Diagnosed in Haematology Units in Wuhan, China: A Retrospective Cohort Study",47.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3558004
"From January 23 to March 1, 2020, 80,026 confirmed cases were reported in the whole country, with 67,103 (83·7%) cases reported from Hubei province and 12,923 (16·3%) cases from the other provinces. After the lockdown of Wuhan city, the number of confirmed cases reported daily continued to increase and peaked on February 4. From February 5 to March 1, the number of cases gradually decreased by 85·0% in the whole country, 83·2% in Hubei province, and 92·8% in the other provinces. The number of deaths continues to increase because of the large number of severe cases in hospitals. The severe case rate was 18·3% in the whole country, 19·3% in Hubei province, and 12·7% in other provinces. The case fatality rate was 3·6% in the whole country, 4·2% in Hubei province, and 0·8% in the other provinces. Cumulative recovery rate was 55·6% in the whole country, 50·5% in Hubei province, and 80·2% in the other provinces. Case fatality was high in patients aged above 60 years (mortality &gt;80%), males (mortality 76·5%), and patients with comorbidities (mortality 64·7%).",2020-03-24,2.0,151.0,75.5,20.0,"Trend of the Coronavirus Disease-2019 Epidemic in China After the Lockdown of Wuhan City on January 23, 2020",41.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555218
"The infectious capacity of virus carriers varies at different stages. Additionally, both the prevention and control measures and the public’s awareness of the epidemic have great impact on the transmission of COVID-19.",2020-03-24,2.0,133.0,66.5,36.0,Predicting COVID-19 Using Hybrid AI Model,34.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555202
" Imported cases were more severe than local cases, but could have similar prognosis. The short epidemic period in Hainan suggests that the epidemics could be quickly brought under control if proper timely measures were taken.",2020-03-24,2.0,116.0,58.0,32.0,"Epidemiological and Clinical Features of Imported and Local Patients with Coronavirus Disease 2019 (COVID-19) in Hainan, China",26.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555222
"Covid-19 is a highly infectious disease, and mostly are middle-aged and elderly cases, there is no significant difference between males and females. Fever, cough, and fatigue are most the clinical manifestations. Blood tests suggest that white blood cells are most normal and lymphocytes are reduced, C-reactive protein is slightly elevated, and imaging findings are of guiding significance for diagnosis of the disease and therapeutic effect.  At the same time of antiviral treatment, pay attention to nutritional support and gastrointestinal function protection, combined with traditional Chinese medicine treatment is very important. Early diagnosis, isolation, and treatment are essential and critical to control the disease. Cabin hospital, as a fast and effective method for centralized isolation and treatment of patients with infectious diseases, can provide a valuable experience in dealing with public emergency incident.",2020-03-24,2.0,98.0,49.0,16.0,Clinical Characteristics of 545 Cases Confirmed COVID-19 in Wuhan Stadium Cabin Hospital,19.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552844
"The new-suspected COVID-19 case numbers were significantly correlated with the lagged series of SMSI. SIMI could be earlier detected 6–9 days than new-suspected cases of COVID-19. The optimal method was subset select, which had the lowest estimation error and a moderate number of predictors. The subset selection method was also significantly correlated with the new-confirmed COVID-19 cases after validation. SMSI findings on lag day 10 were significantly correlated with new-confirmed COVID-19 cases.",2020-03-24,2.0,97.0,48.5,38.0,Prediction of the Number of New Cases of 2019 Novel Coronavirus (COVID-19) Using a Social Media Search Index,24.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552829
"Restrictions on activities in Wuhan, if maintained until April, would likely contribute to the reduction and delay the epidemic size and peak, respectively. However, there are some limitations to the analysis, including large uncertainties around estimates of R0 and the duration of infectiousness.",2020-03-24,2.0,97.0,48.5,22.0,"The Effect of Control Strategies that Reduce Social Mixing on Outcomes of the COVID-19 Epidemic in Wuhan, China",24.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552864
"The pathological characteristics of COVID-19 pneumonia was hyaline membranes with or without inflammatory cells and interstitial thickening, and cases with more serious radiological findings always showed hyaline membranes with inflammatory cells, and interstitial thickening may exist in early stage.",2020-03-24,2.0,96.0,48.0,11.0,"Characteristics of Critically Ill COVID-19 Pneumonia: Clinical, Radiological and Pathological",24.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552853
The prevalence of AKI was high in severe and critical COVID-19 patients. Renal ultrasound is a potential predictor of AKI.,2020-03-24,2.0,96.0,48.0,20.0,"Prevalence of Acute Kidney Injury in Severe and Critical COVID-19 Patients in Wuhan, China",16.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555223
"Our findings support the need to pay attention to the health of people who were not affected by the virus epidemiologically. We especially need to support people who stopped working during the outbreak. Our results also highlight that physically active people, as indicated by more hours of exercise, might be more susceptible to wellbeing issues due to the lockdown. Policymakers who are considering introducing restrictive measures to contain COVID-19 may benefit from understanding such health and wellbeing implications.",2020-03-24,2.0,95.0,47.5,24.0,"Health, Distress and Life Satisfaction of People in China One Month into the COVID-19 Outbreak",16.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555216
"During the epidemic of COVID-19, the anxiety and depression level of college students increased significantly, which was also related to multiple factors. Therefore, it is particularly important to carry out necessary psychological intervention on college students.",2020-03-24,2.0,89.0,44.5,32.0,Psychological State of College Students During COVID-19 Epidemic,18.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552814
The strong political commitment and centrally coordinated response are playing the most important role in containing COVID-19 in mainland China.,2020-03-24,2.0,89.0,44.5,30.0,Transmission Dynamics of Covid-19 in Mainland China: Impact of Public Health Control Measures,16.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552826
"Quality of currently available RCT protocols on the treatments for COVID-19 could be further improved. For transparency and effective knowledge translation in real-world clinically settings, it is important for trial investigators to standardize baseline treatments for patients with COVID-19 and assess clinically important core outcome measures. Despite eager anticipation from the public on the results of effectiveness trials in COVID-19, robust design, execution and reporting of these trials should be regarded as high priority.",2020-03-24,2.0,86.0,43.0,21.0,Quality Assessment of the Clinical Trial Protocols Regarding Treatments for Coronavirus Disease 2019,18.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552834
