Topic_Num,Topic_Perc_Contrib,Keywords,Text
0.0,0.253,"sar, cov, ncov, pneumonia, pangolin, human, show, ratg, december, identification","In the late December of 2019, an epidemic pneumonia (announced recently as Corona Virus Disease (COVID-19)) outbreak in city of Wuhan in China and widely spreads all over the world. According to authoritative statistics, the COVID-19 has caused more than 40,000 laboratory-confirmed infections with more than 1000 deaths by 12 February 2020 and is still increasing. It was caused by a novel identified coronavirus 2019-nCoV (renamed this virus as severe acute respiratory syndrome coronavirus 2, SARS-CoV-2). Released complete genomes of 2019-nCoVs have helped rapid identification and diagnosis of the COVID-19. Currently, it is another key task to explore potential intermediate host of SARS-CoV-2, which is vital to control COVID-19 spread. To this end, we re-investigated published data from pangolin lung samples from which SARS-like coronaviruses were detected by Liu et. By both deep assembly and multiple phylogenetic analyses, we found genomic and evolutionary evidences of the occurrence of 2019-nCoV-like coronavirus (named as Pangolin-CoV) from dead Malayan Pangolins. Pangolin-CoV is 91.02% and 90.55% identical at the whole genome level to 2019-nCoV and BatCoV RaTG13, respectively. Pangolin-CoV is the lowest common ancestor of 2019-nCoV and RaTG13. The S1 protein of Pangolin-CoV is much more closely related to 2019-nCoV than RaTG13. Five key amino-acid residues involved in the interaction with human ACE2 are completely consistent between Pangolin-CoV and 2019-nCoV but four amino-acid mutations occur in RaTG13. It indicates Pangolin-CoV has similar pathogenic potential to 2019-nCoV, which would be helpful to trace the origin and probable intermediate host of 2019-nCoV."
1.0,0.2242,"study, review, detect, preprint, potential, peer, management, reproduction, method, basic","As of February 11, 2020, more than 43,000 cases of a novel coronavirus (2019–nCoV) have been reported worldwide. Using publicly available data regarding the transmissibility potential (i.e. basic reproduction number) of 2019–nCoV, we demonstrate that relevant preprint studies generated considerable search and news media interest prior to the publication of peer-reviewed studies in the same topic area. We then show that preprint estimate ranges for the basic reproduction number associated with 2019–nCoV overlap with those presented by peer-reviewed studies that were published at a later date. Taken together, we argue that preprints are capable of driving global discourse during public health crises; however, we recommend that a consensus-based approach – as we have employed here – be considered as a means of assessing the robustness of preprint findings prior to peer review."
2.0,0.2106,"epidemic, china, hubei_province, spread, predict, rapidly, parameter, feb, end, expect","Since the first case of new coronavirus (2019-nCoV) pneumonia appeared in Wuhan, the virus has spread very rapidly in China on December 31st, with Hubei Province having the most severe epidemic situation. As of 24:00 on February 2nd, the cumulative number of confirmed cases in Hubei Province has reached up to 11,177. In this paper, we select the epidemic situation in Hubei Province as the research object to establish the SEIQDR model of infectious diseases. The parameters are determined from the existing data to predict the trend of the cumulative number of confirmed diagnoses, and the parameters are adjusted according to the prevention and control measures as well as possible changes. In comparison with Guangdong Province, where the SARS epidemic originated, it was concluded that the new coronavirus epidemic far exceeds the SARS epidemic in terms of infection rate and deaths. But thanks to the timely and effective prevention and control measures taken by the country, currently the epidemic is under control, and we predict the end of the epidemic is about 60 days earlier than the SARS virus. The total number of confirmed diagnoses in Hubei Province is 26,701 (ranges from 24,355 to 32,406), and the rapid growth period is expected to be from January 27th to February 10, and the epidemic will grow slowly after February 22nd. The growth is expected to stop on March 30th (ranges from March 26th to April 19th)."
3.0,0.2059,"number, datum, report, cumulative, control, official, day, incidence, total, pneumonia","This paper uses new credible non-official sources of data to evaluate the incidence and impact of the novel coronavirus (COVID-19) outbreak in China. Based on the number of reported cremations and on reports of possibly more accurate numbers on cases that appeared briefly on Tencent and were suppressed, we have conducted a modeling study to estimate the incidence and other parameters of the outbreak, including the potential starting time. The numbers for cumulative cases, new cases per day, and cumulative deaths coming from the non-official data are all substantially higher by a factor of 5 to 10 (depending on the date of the data) than would be implied by the official Chinese government data. All sets of non-official data used here imply that the coronavirus outbreak began in October or late September 2019."
5.0,0.1249,"infection, low, diagnosis, important, key, cure, eosinophil, acid, type, laboratory","The novel coronavirus (2019-nCoV) outbreak in Wuhan city, Hunan Province, China in Dec 2019 and has rapidly spread to the other parts of China. It is important to know what has happened in this epidemic. We analyzed the epidemic curves of 2019-nCoV cases, in mainland China from Jan 23, 2020 to Feb 11, 2020. We found cumulative confirmed cases in this period increased in a fast speed in China. We also observed important disparities in cure ratio(%) and mortality across high-income and low-income areas. Finally, we observed important disparities in cure ratio (%) and mortality across seven regions. Effective prevention and control measures should be taken and the sustained transmission required full attention of public health."
6.0,0.089,"model, transmission, february, rapid, wuhan, case, outbreak, accord, pyroptosis, approach","We develop a mathematical model to provide epidemic predictions for the 2019-nCov epidemic in Wuhan, China. We use reported case data up to January 31, 2020 from the Chinese Center for Disease Control and Prevention and the Wuhan Municipal Health Commission to parameterize the model. From the parameterized model we identify the number of unreported cases. We then use the model to project the epidemic forward with varying level of public health interventions. The model predictions emphasize the importance of major public health interventions in controlling 2019-nCov epidemics."
7.0,0.163,"patient, clinical, illness, mild, image, fever, area, observe, dyspnea, ground","The infection rate of 2019-nCoV in the outpatients from the fever clinics was high and the majority of COVID-19 were mild cases. The highest nucleic acid detection rate for 2019-nCoV infection was observed in patients with muscle ache, followed by dyspnea. The combination of fever, lower accounts of eosinophils and the imaging features of ground-glass opacity in bilateral lungs might be a valuable indicator for 2019-nCoV infection."
8.0,0.2646,"medical, effective, base, service, research, logistic, treat, significant, temporary, network","The outbreak of an epidemic disease may impose significant treats on human being and may further lead to a global crisis. In order to effectively control epidemic spread, a responsive logistics service is of vital importance. Over the years, researches have been focused on the establishment and the operations of temporary logistics network for delivering medical service and allocating emergency resources. However, the research focus has not been given to the design of a temporary reverse logistics network for medical waste treatment in epidemic outbreak, which, if improperly treated, may accelerate disease spread and pose a significant risk on both medical staffs and patients. Therefore, this paper formulates a novel multi-objective multi-period mixed integer program for reverse logistics network design in epidemic outbreak, which aims at effective management of the exponentially increased medical waste and healthcare hazards within a very short period. The model is validated with a real-world case study based on the outbreak of the coronavirus disease 2019 (COVID-19) in Wuhan, China. Even through the uncertainty of the future tendency of the COVID-19 spread is very high at the time of this research, some general managerial implications can still be obtained based on quantitative analyses. Among other insights, the computational results suggest installing and operating temporary incinerators at proper locations may be an effective solution for managing the tremendous increase of medical waste during the COVID-19 outbreak in Wuhan."
9.0,0.3669,"high, virus, risk, spread, coronaviruse, influenza, cv, focus, immune, ace","Angiotensin-converting enzyme 2 (ACE2) has emerged as a key regulator of the renin-angiotensin system in cardiovascular (CV) disease and plays a pivotal role in coronaviruses and influenza viruses infections. The present review is primarily focused on the findings to indicate the role of ACE2 in the relationship between coronaviruses and influenza viruses with CV disease. It is postulated that the risk of coronavirus or influenza virus infection is high, at least partly, due to high ACE2 expression in population with high CV risk. Coronaviruses and influenza viruses vaccine usage in high CV risk population could be a potential strategy to prevent both CV disease and coronaviruses or influenza viruses infections."
10.0,0.3113,"country, global, risk, world, future, assessment, spatiotemporal, vulnerability, worldwide, information","An ongoing novel coronavirus SARS-CoV-2 pneumonia infection outbreak called COVID-19 started in Wuhan, Hubei Province, China, in December 2019. It both spread rapidly to all provinces in China and started spreading around the world quickly through international human movement from January 2020. Currently, the spatiotemporal epidemic transmission patterns, prediction models, and possible risk analysis for the future are insufficient for COVID-19 but we urgently need relevant information, particularly from the global perspective.

We have developed a novel two-stage simulation model to simulate the spatiotemporal changes in the number of COVID-19 cases and estimate the future worldwide risk. Based on the connectivity of countries to China and the country's medical and epidemic prevention capabilities, different scenarios are generated to analyze the possible transmission throughout the world and use this information to evaluate each country’s vulnerability to and the dynamic risk of COVID-19.

Countries’ vulnerability to the COVID-19 outbreak from China is calculated for 63 countries around the world. Taiwan, South Korea, Hong Kong, and Japan are the most vulnerable areas. The relationship between each country’s vulnerability and days before the first imported case occurred shows a very high exponential decrease. The cumulative number of cases in each country also has a linear relationship with vulnerability, which can compare and quantify the initial epidemic prevention capabilities to various countries’ management strategies. In total, 1,000 simulation results of future cases around the world are generated for the spatiotemporal risk assessment. According to the simulation results of this study, if there is no specific medicine for it, it will likely form a global pandemic. This method can be used as a preliminary risk assessment of the spatiotemporal spread for a new global epidemic."
