Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,46.0,0.0619,"result, test, positive, nucleic_acid, chest, quantitative, recurrent, evaluate, site, arb"," Within 24 hours, our setup led to pronounced reduction of patient load in the ER and enabled risk assessment of 1166 patients of which 746 (64%) received testing for SARS-CoV-2 during the first 2 weeks of operation (February 27th – March 12th, 2020). Timely on-site evaluation of positive test results informed on local transmission cycles, which in turn led to successful extension of test indications beyond national guidelines. In addition, the infrastructure was exploited for testing and contact tracing of hospital personnel as cases strongly increased in Germany. "
1,25.0,0.0543,"pandemic, community, health, term, policy, system, strategy, economic, ongoing, area"," Our estimates are based on tentative assumptions and represent a wide range of outcomes. Nonetheless, they show that if routine health care is disrupted – as a result of unavoidable shocks, health system collapse, or intentional choices made in responding to the pandemic – the increase in child and maternal deaths will be devastating. We hope these numbers add context as policy makers establish guidelines and allocate resources in the days and months to come. "
2,41.0,0.0506,"difference, show, significant, observe, tool, result, glucose, analysis, gt, confirm"," Our study showed a significant decrease in patients treated with MTs during the first stages of the COVID epidemic in France, and alarming indicators of lengthened care delays. These findings prompt immediate consideration of local and regional stroke networks preparedness in the varying contexts of COVID19 pandemic evolution."
3,69.0,0.0689,"case, common, cough, fever, symptom, manifestation, sign, fatigue, closely, odd"," GI manifestations should be considered as common presenting symptoms of COVID-19, initiating quicker confirmatory testing to avoid misdiagnosis and transmission of the disease. The availability of medical resources is seen to affect the management of COVID-19 cases, which in turn affect symptomatology, transmission of virus and eventually the density of cases.  "
4,12.0,0.0924,"care, medical, resource, worker, prompt, home, provider, personnel, facility, expose"," Identification of these factors associated with severe COVID-19 will help the physicians working at all levels of healthcare (primary, secondary, tertiary and ICU) in determining which patients need home care, hospital care, HDU care, and ICU admission; and thus, prioritize the scarce healthcare resource use more judiciously. Many of these identified factors can also help the public at large in the current COVID-19 epidemic setting, to judge when they should seek immediate medical care."
5,52.0,0.0573,"covid, clinical, outcome, characteristic, pregnant_woman, sar, great, bad, mer, maternal"," COVID-19 was associated with an approximately 52% lower risk of adverse clinical outcomes, compared to SARS after adjusting for clinical parameters. Nonetheless, as there is still an ongoing, fast growing number of COVID-19 patients worldwide, the absolute number of deaths is going to be enormous. Health authorities should allocate adequate resources, in particular intensive care facilities, based on the trajectories of the numbers of confirmed cases and well ahead to avoid collapse of the healthcare systems."
6,14.0,0.0624,"feature, lung, ggo, image, opacity, consolidation, peripheral, pulmonary, pattern, ground_glass"," Although COVID-19 might present a higher prevalence of GGO predominance, involvement of upper and middle lobes, and peripheral distribution, most CT findings overlap with other viral pneumonia. Thus, chest CT should not be encouraged as a first-line test for COVID-19 diagnosis in the general population."
7,44.0,0.0294,"patient, management, hospitalize, treat, impairment, eosinophil, biochemical, shed, offer, diagnostic"," Hospitalized COVID-19 patients with mild symptoms despite positive chest CT changes and major comorbidities were more probable to have negative rRT-PCR test result, hence lower case fatality rate and a more favorable outcome.  "
8,9.0,0.061,"include, support, analysis, organ, ventilation, ard, individual, biomarker, ventilatory, strategy"," The multi-strategy management for severe COVID-19 patients included early identification and timely critical care, including appropriate respiratory support in particular. Preparation of sufficient conventional oxygen equipment should be prioritized."
9,4.0,0.1203,"system, national, information, process, point, great, occur, efficiency, cepe, diarrhea"," The baseline nomogram model can be employed at admission to identify the high-risk patients who might develop CEPE. During hospitalization, by monitoring the changes in the burning point indicators in the early warning system, clinicians can combine their respective weights to determine whether the patient has crossed the burning point. If so, CEPE will occur within five days. Hopefully, by using this early warning system, clinicians could intervene proactively before a CEPE develops, thereby avoiding irreversible disease progression and minimizing the likelihood of fatality."
10,2.0,0.1325,"covid, role, play, study, situation, linear, case, utilize, youtube, distribution"," Over one-quarter of most viewed YouTube videos on COVID-19 contained misleading information, reaching millions of viewers worldwide. As the current COVID-19 pandemic worsens, public health agencies must better utilize YouTube to deliver timely and accurate information and to minimize the spread of misinformation. This may play a significant role in successfully managing the COVID-19 pandemic.  "
11,63.0,0.126,"screen, timely, current, screening, base, assessment, dynamic, large, surveillance, confirmation"," Large sample size designed-experiment of Bayesian inference provided an accurate and intuitive understanding on current status of COVID-19 in China. Dynamic prevalence changes implied that a gradually and significant decreasing trend of infection have been formed along with line of strict intervention and screening, but due to uncertainty and variability of pathogen as well as the wide spectrum hosts and various environmental exposure, more risk-based screening and surveillance is further needed. Given institutively recognition on the lower concentrated distribution of current prevalence of COVID-19 and the existence of asymptomatic infections, current predictive value of PPV is not so sensitive to help in making a right decision for confirmed infection in low risk prevailed region. In such circumstance, two solutions are suggested, first is to seek the second or more confirmatory RT-PCR assays that target a different part of genome to increase statistical assurance for positive confirmation. Secondly, if contradictory results of tests are still yielded, the confirmed case should be based more on patient epidemiology history and clinical assessment, rather than just RT-PCR test. "
12,50.0,0.0503,"poor, associate, prognosis, underlie, disease, age, level, impair, diabetes, abnormality"," This cross-sectional study of employees of Japan showed a high prevalence of fear, worry, and workplace harassment related to COVID-19. Most of these findings were associated with poor mental and physical health. Occupational health professionals and primary care physicians, therefore, need to prevent COVID-19 in the workplace and take care of patients at risk of contracting COVID-19."
13,9.0,0.0486,"include, support, analysis, organ, ventilation, ard, individual, biomarker, ventilatory, strategy"," Interrupted time series analysis revealed that Fang Cang Shelter hospitals were likely to reverse the epidemic trend of COVID-19 while containment strategy was implemented in Wuhan. The results provide a valuable reference for health policy makers in countries to which the COVID-19 outbreak has also spread, including Italy, Iran, and Spain."
14,48.0,0.0492,"function, severe, cytokine, monitoring, kidney, addition, protect, renal, storm, condition"," Collectively, severe and critical COVID-19 patients exhibit lymphopenia and high level of cytokines, especially impaired T cells, and increased IL-6 or IL-10, which are served as potential biomarkers for disease progression. Therefore, improving lymphopenia and targeting cytokines should be the effective therapeutic strategies for severe and critical COVID-19 patients."
